Rk,Player,Pos,Age,Tm,G_x,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All-Star
408,Quincy Pondexter,SF,29,CHI,23,1,8.5,0.6,2.1,0.286,0.1,1.0,0.136,0.5,1.2,0.407,0.316,0.6,0.7,0.824,0.3,0.8,1.2,0.4,0.3,0.1,0.5,1.0,2.0,23,4.0,0.398,0.449,0.347,4.2,10.8,7.4,6.3,2.0,0.9,16.3,15.0,-0.3,0.1,-0.2,-0.047,-7.0,-0.4,-7.4,-0.3,false
409,Otto Porter,SF,24,WAS,77,77,31.6,5.8,11.5,0.503,1.8,4.1,0.441,4.0,7.4,0.537,0.581,1.4,1.7,0.828,1.3,5.1,6.4,2.0,1.5,0.5,1.0,2.0,14.7,77,18.3,0.602,0.354,0.145,4.8,18.1,11.4,10.1,2.4,1.5,7.4,18.4,5.0,3.1,8.1,0.161,2.6,1.0,3.5,3.4,false
410,Bobby Portis,PF,22,CHI,73,4,22.5,5.2,11.1,0.471,1.1,3.1,0.359,4.1,8.1,0.514,0.52,1.6,2.1,0.769,2.2,4.6,6.8,1.7,0.7,0.3,1.4,1.8,13.2,73,19.7,0.548,0.275,0.192,10.0,23.0,16.2,13.2,1.5,1.3,10.5,26.0,2.0,1.5,3.5,0.101,2.2,-1.3,0.8,1.2,false
411,Kristaps Porziņģis,PF,22,NYK,48,48,32.4,8.1,18.5,0.439,1.9,4.8,0.395,6.3,13.8,0.454,0.489,4.5,5.7,0.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,22.7,48,20.4,0.539,0.256,0.309,4.4,18.1,11.3,6.2,1.1,6.4,8.4,31.0,1.4,1.8,3.2,0.099,1.9,-0.1,1.8,1.5,true
412,Dwight Powell,C,26,DAL,79,25,21.2,3.2,5.4,0.593,0.4,1.1,0.333,2.9,4.4,0.656,0.626,1.7,2.3,0.719,1.7,3.9,5.6,1.2,0.8,0.4,0.7,2.4,8.5,79,18.8,0.656,0.195,0.43,8.7,21.3,14.7,8.5,2.0,1.7,10.3,15.5,4.6,2.1,6.6,0.191,0.6,1.0,1.6,1.5,false
413,Norman Powell,SG,24,TOR,70,18,15.2,2.1,5.3,0.401,0.8,2.7,0.285,1.4,2.7,0.516,0.472,0.5,0.6,0.821,0.2,1.5,1.7,1.3,0.5,0.2,0.9,1.6,5.5,70,8.5,0.492,0.497,0.104,1.5,10.9,6.3,11.8,1.7,1.2,14.4,18.9,-0.6,1.2,0.6,0.027,-3.2,0.2,-2.9,-0.3,false
414,Alex Poythress,PF,24,IND,25,0,4.2,0.4,1.0,0.423,0.2,0.4,0.364,0.3,0.6,0.467,0.5,0.0,0.0,,0.3,0.4,0.7,0.1,0.1,0.0,0.1,0.6,1.0,25,7.8,0.5,0.423,0.0,7.7,10.8,9.2,2.6,1.4,0.9,7.1,12.0,0.1,0.1,0.1,0.066,-3.8,-1.3,-5.1,-0.1,false
415,Taurean Prince,SF,23,ATL,82,82,30.0,5.1,11.9,0.426,2.1,5.6,0.385,2.9,6.3,0.461,0.516,1.9,2.2,0.844,0.6,4.1,4.7,2.6,1.0,0.5,2.3,2.0,14.1,82,12.8,0.549,0.469,0.185,2.3,15.3,8.8,13.9,1.7,1.5,15.3,22.1,0.0,2.0,2.0,0.038,-0.5,-0.6,-1.1,0.6,false
416,Jacob Pullen,PG,28,PHI,3,0,2.0,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,3,-2.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,21.3,0.0,0.0,0.0,-0.21,-8.3,-4.4,-12.7,0.0,false
417,Rodney Purvis,SG,23,ORL,16,2,18.1,2.2,6.7,0.327,0.8,3.3,0.25,1.4,3.4,0.4,0.388,0.8,0.9,0.867,0.1,1.6,1.7,1.1,0.2,0.2,0.6,1.6,6.0,16,4.5,0.423,0.486,0.14,0.4,9.9,5.1,8.5,0.5,0.8,8.1,18.7,-0.4,0.1,-0.3,-0.056,-6.1,-2.1,-8.2,-0.5,false
418,Zhou Qi,C,22,HOU,18,0,6.9,0.3,1.8,0.188,0.1,1.1,0.105,0.2,0.7,0.308,0.219,0.4,0.7,0.667,0.3,0.9,1.2,0.1,0.1,0.8,0.6,0.8,1.2,18,1.9,0.295,0.594,0.375,5.5,14.4,10.0,2.1,0.8,9.6,21.2,16.8,-0.5,0.2,-0.3,-0.104,-10.3,0.2,-10.1,-0.3,false
419,Tim Quarterman,SG,23,HOU,3,0,4.3,0.3,1.0,0.333,0.0,0.7,0.0,0.3,0.3,1.0,0.333,0.7,0.7,1.0,0.0,1.0,1.0,0.3,0.0,0.0,0.7,0.3,1.3,3,2.9,0.515,0.667,0.667,0.0,25.8,13.0,10.6,0.0,0.0,34.0,20.0,0.0,0.0,0.0,-0.083,-8.5,-1.2,-9.7,0.0,false
420,Ivan Rabb,PF,20,MEM,36,5,14.3,2.4,4.2,0.566,0.0,0.0,,2.4,4.2,0.566,0.566,0.8,1.0,0.806,1.5,2.9,4.4,0.9,0.3,0.4,1.0,1.5,5.6,36,16.6,0.599,0.0,0.237,11.6,24.1,17.7,10.4,1.2,2.4,17.3,17.7,0.7,0.5,1.2,0.109,-0.9,-1.2,-2.0,0.0,false
421,Julius Randle,C,23,LAL,82,49,26.7,6.1,11.0,0.558,0.1,0.5,0.222,6.0,10.5,0.575,0.563,3.7,5.2,0.718,2.2,5.8,8.0,2.6,0.5,0.5,2.6,3.3,16.1,82,19.9,0.606,0.05,0.47,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,4.0,2.6,6.6,0.145,0.6,0.0,0.6,1.4,false
422,Zach Randolph,PF,36,SAC,59,57,25.6,6.1,12.9,0.473,0.9,2.5,0.347,5.3,10.4,0.503,0.507,1.4,1.8,0.785,1.6,5.1,6.7,2.2,0.7,0.2,2.0,2.0,14.5,59,17.3,0.529,0.193,0.14,7.0,23.7,15.0,14.9,1.4,0.6,12.5,27.6,0.3,1.2,1.5,0.048,0.5,-1.5,-1.0,0.4,false
423,Xavier Rathan-Mayes,SG,23,MEM,5,0,23.6,2.4,8.4,0.286,0.2,2.8,0.071,2.2,5.6,0.393,0.298,0.8,1.8,0.444,0.0,1.0,1.0,3.6,1.2,0.6,2.2,3.6,5.8,5,0.9,0.315,0.333,0.214,0.0,5.0,2.5,23.0,2.6,2.4,19.3,21.7,-0.5,0.1,-0.4,-0.171,-9.9,-1.6,-11.5,-0.3,false
424,J.J. Redick,SG,33,PHI,70,70,30.2,5.8,12.6,0.46,2.8,6.6,0.42,3.0,6.0,0.504,0.569,2.8,3.1,0.904,0.1,2.4,2.5,3.0,0.5,0.1,1.5,1.8,17.1,70,15.9,0.614,0.523,0.248,0.5,8.3,4.5,15.1,0.8,0.2,9.6,21.7,4.8,1.8,6.6,0.15,2.2,-1.1,1.1,1.7,false
425,Davon Reed,SG,22,PHO,21,1,11.5,1.0,3.6,0.289,0.5,1.8,0.289,0.5,1.8,0.289,0.362,0.4,0.6,0.667,0.1,1.8,1.9,0.6,0.5,0.1,0.5,0.8,3.0,21,4.8,0.388,0.5,0.158,0.9,16.6,8.6,7.6,2.0,0.7,11.0,16.0,-0.5,0.2,-0.3,-0.06,-5.8,-0.6,-6.4,-0.3,false
426,Willie Reed,C,27,TOT,42,5,10.2,1.9,2.9,0.669,0.0,0.0,0.5,1.9,2.8,0.672,0.674,0.8,1.3,0.582,0.8,2.0,2.9,0.2,0.2,0.5,0.5,1.3,4.6,42,19.2,0.671,0.017,0.455,9.1,21.8,15.5,3.6,1.0,4.3,11.6,16.6,1.0,0.5,1.5,0.172,0.5,0.3,0.8,0.3,false
427,Josh Richardson,SF,24,MIA,81,81,33.2,4.9,10.9,0.451,1.6,4.1,0.378,3.4,6.8,0.495,0.523,1.5,1.8,0.845,0.9,2.7,3.5,2.9,1.5,0.9,1.7,2.5,12.9,81,13.6,0.551,0.38,0.16,2.9,9.0,6.0,13.2,2.3,2.4,12.9,18.2,1.8,3.5,5.4,0.096,-0.6,1.3,0.7,1.8,false
428,Malachi Richardson,SG,22,TOT,26,4,12.5,1.2,3.5,0.333,0.5,1.5,0.3,0.7,1.9,0.36,0.4,0.7,0.8,0.773,0.2,1.1,1.3,0.5,0.4,0.0,0.4,1.0,3.4,26,5.9,0.446,0.444,0.244,1.7,10.6,6.0,5.6,1.6,0.3,9.1,15.2,-0.2,0.1,-0.1,-0.015,-5.0,-1.0,-6.0,-0.3,false
429,Austin Rivers,SG,25,LAC,61,59,33.7,5.6,13.2,0.424,2.2,5.9,0.378,3.4,7.3,0.461,0.508,1.7,2.6,0.642,0.4,1.9,2.4,4.0,1.2,0.3,1.8,2.5,15.1,61,12.6,0.526,0.447,0.198,1.5,6.2,3.9,17.5,1.7,0.6,11.1,20.6,1.4,1.0,2.4,0.056,-0.3,-0.9,-1.2,0.4,false
430,Andre Roberson,SG,26,OKC,39,39,26.6,2.2,4.2,0.537,0.2,0.9,0.222,2.0,3.2,0.627,0.562,0.3,1.0,0.316,1.9,2.8,4.7,1.2,1.2,0.9,0.8,2.3,5.0,39,10.9,0.543,0.222,0.235,7.8,12.2,9.9,6.0,2.2,3.1,14.4,8.6,0.8,1.3,2.2,0.1,-1.9,1.8,-0.1,0.5,false
431,Devin Robinson,SF,22,WAS,1,0,13.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,2.0,3.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,1,10.5,0.333,0.0,0.0,17.4,26.0,21.7,0.0,3.8,0.0,0.0,10.2,0.0,0.0,0.0,0.098,-4.2,2.1,-2.1,0.0,false
432,Glenn Robinson III,SF,24,IND,23,1,14.7,1.6,3.7,0.424,0.6,1.5,0.412,1.0,2.2,0.431,0.506,0.4,0.5,0.818,0.5,1.1,1.6,0.7,0.6,0.0,0.2,0.6,4.1,23,10.8,0.529,0.4,0.129,3.7,8.6,6.2,6.8,1.9,0.3,5.3,12.5,0.4,0.3,0.6,0.088,-1.2,0.4,-0.7,0.1,false
433,Rajon Rondo,PG,31,NOP,65,63,26.2,3.6,7.6,0.468,0.8,2.3,0.333,2.8,5.3,0.526,0.518,0.4,0.7,0.543,0.5,3.6,4.0,8.2,1.1,0.2,2.3,1.8,8.3,65,15.3,0.522,0.304,0.093,2.0,14.2,8.4,42.2,2.0,0.5,22.7,16.9,1.9,1.7,3.6,0.101,0.0,-0.4,-0.3,0.7,false
434,Derrick Rose,PG,29,TOT,25,7,16.8,3.2,7.4,0.435,0.3,1.2,0.233,3.0,6.2,0.474,0.454,1.6,1.8,0.87,0.5,0.9,1.4,1.5,0.3,0.2,1.4,0.6,8.4,25,11.5,0.507,0.161,0.247,3.5,5.8,4.7,13.6,0.8,0.8,14.5,25.4,-0.2,0.1,-0.2,-0.018,-2.1,-3.3,-5.4,-0.4,false
435,Terrence Ross,SG,26,ORL,24,20,25.0,3.2,8.0,0.398,1.3,3.9,0.323,1.9,4.1,0.469,0.476,1.1,1.5,0.75,0.4,2.6,3.0,1.6,1.1,0.5,1.2,1.9,8.7,24,9.9,0.505,0.487,0.188,1.8,11.6,6.7,9.3,2.2,1.5,12.3,17.3,-0.2,0.5,0.3,0.025,-2.8,0.1,-2.7,-0.1,false
436,Terry Rozier,PG,23,BOS,80,16,25.9,4.0,10.0,0.395,1.9,5.0,0.381,2.0,5.0,0.41,0.491,1.4,1.9,0.772,0.8,3.9,4.7,2.9,1.0,0.2,1.0,1.5,11.3,80,15.1,0.52,0.503,0.186,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,2.2,3.4,5.6,0.13,0.9,1.2,2.1,2.1,false
437,Ricky Rubio,PG,27,UTA,77,77,29.3,4.5,10.7,0.418,1.2,3.5,0.352,3.2,7.2,0.451,0.476,2.9,3.3,0.866,0.6,4.0,4.6,5.3,1.6,0.1,2.7,2.7,13.1,77,15.4,0.537,0.33,0.307,2.2,15.3,8.8,28.4,2.7,0.4,18.1,22.9,1.5,3.8,5.3,0.112,-0.7,1.5,0.7,1.6,false
438,D'Angelo Russell,PG,21,BRK,48,35,25.7,5.8,14.0,0.414,1.9,5.8,0.324,3.9,8.2,0.477,0.481,2.0,2.7,0.74,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,15.5,48,15.2,0.509,0.414,0.195,2.6,13.8,8.1,35.7,1.4,1.0,16.8,30.8,-0.5,0.9,0.4,0.014,0.8,-2.0,-1.2,0.3,false
439,Domantas Sabonis,C,21,IND,74,19,24.5,4.6,8.9,0.514,0.2,0.5,0.351,4.4,8.4,0.524,0.524,2.3,3.0,0.75,2.2,5.5,7.7,2.0,0.5,0.4,1.9,3.0,11.6,74,17.5,0.567,0.056,0.339,10.4,25.2,17.8,12.7,1.1,1.6,15.3,22.1,2.5,2.2,4.7,0.126,-0.6,-0.5,-1.1,0.4,false
440,JaKarr Sampson,SF,24,SAC,22,6,15.6,2.0,3.7,0.543,0.2,0.5,0.5,1.8,3.2,0.549,0.574,0.5,0.7,0.625,1.0,2.6,3.5,0.4,0.4,1.0,0.4,2.2,4.7,22,13.9,0.585,0.123,0.198,6.7,19.7,12.9,3.9,1.2,6.1,8.3,12.5,0.4,0.4,0.8,0.114,-2.3,1.1,-1.2,0.1,false
441,Dario Šarić,PF,23,PHI,78,73,29.6,5.2,11.4,0.453,2.0,5.1,0.393,3.2,6.3,0.501,0.541,2.3,2.7,0.86,2.0,4.7,6.7,2.6,0.7,0.3,1.9,2.1,14.6,78,15.8,0.582,0.448,0.233,7.5,16.4,12.1,13.0,1.1,0.7,13.1,20.9,3.8,2.8,6.6,0.137,1.8,-0.5,1.3,1.9,false
442,Tomáš Satoranský,SG,26,WAS,73,30,22.5,2.8,5.3,0.523,0.6,1.4,0.465,2.1,3.9,0.544,0.585,1.0,1.3,0.781,1.0,2.2,3.2,3.9,0.7,0.2,1.1,1.8,7.2,73,15.4,0.615,0.263,0.25,5.0,11.1,8.0,24.8,1.6,0.8,16.3,13.7,3.7,1.3,5.0,0.145,0.8,0.5,1.2,1.3,false
443,Dennis Schröder,PG,24,ATL,67,67,31.0,7.5,17.1,0.436,1.1,3.9,0.29,6.3,13.2,0.48,0.469,3.4,4.0,0.849,0.7,2.4,3.1,6.2,1.1,0.1,2.7,2.2,19.4,67,17.3,0.515,0.229,0.231,2.4,8.8,5.6,36.2,1.7,0.2,12.7,30.4,1.5,1.0,2.6,0.059,1.2,-1.9,-0.6,0.7,false
444,Mike Scott,PF,29,WAS,76,1,18.5,3.6,6.9,0.527,0.9,2.1,0.405,2.8,4.8,0.582,0.59,0.7,1.0,0.658,0.7,2.6,3.3,1.1,0.3,0.1,1.0,1.9,8.8,76,13.6,0.599,0.311,0.145,4.0,15.8,9.9,9.1,0.8,0.6,12.4,20.0,1.4,1.0,2.5,0.085,-0.6,-1.1,-1.7,0.1,false
445,Thabo Sefolosha,SF,33,UTA,38,6,21.2,3.1,6.3,0.492,0.8,2.2,0.381,2.3,4.1,0.551,0.558,1.2,1.4,0.815,0.8,3.5,4.2,0.9,1.4,0.3,0.8,1.6,8.2,38,15.8,0.591,0.35,0.225,4.1,18.4,11.3,6.3,3.2,1.3,10.2,16.4,1.0,1.6,2.6,0.156,0.2,2.5,2.7,0.9,false
446,Wayne Selden,SG,23,MEM,35,9,19.8,3.3,7.7,0.431,1.4,3.5,0.402,1.9,4.2,0.456,0.522,1.3,1.7,0.746,0.5,1.1,1.6,1.9,0.5,0.1,1.5,1.7,9.3,35,11.8,0.551,0.454,0.219,2.6,6.8,4.7,16.0,1.3,0.7,15.5,22.6,0.1,0.2,0.3,0.023,-0.9,-2.2,-3.1,-0.2,false
447,Ramon Sessions,PG,31,TOT,28,3,14.0,1.5,4.2,0.359,0.3,0.9,0.308,1.2,3.3,0.374,0.393,1.6,2.0,0.772,0.2,1.1,1.4,2.8,0.5,0.1,1.1,1.0,4.9,28,11.2,0.479,0.222,0.487,1.7,9.1,5.4,27.2,1.8,0.4,17.4,19.3,0.1,0.3,0.3,0.039,-2.3,-0.9,-3.2,-0.1,false
448,Iman Shumpert,SG,27,CLE,14,6,19.7,1.6,4.1,0.379,0.5,1.9,0.269,1.1,2.3,0.469,0.44,0.8,1.1,0.733,0.5,2.4,2.9,1.2,0.6,0.3,1.1,1.6,4.4,14,6.4,0.48,0.448,0.259,2.9,13.6,8.3,8.1,1.6,1.2,19.9,12.9,-0.2,0.2,0.0,-0.006,-3.4,0.0,-3.3,-0.1,false
449,Pascal Siakam,PF,23,TOR,81,5,20.7,3.1,6.1,0.508,0.4,1.6,0.22,2.8,4.5,0.612,0.537,0.7,1.1,0.621,1.0,3.5,4.5,2.0,0.8,0.5,0.8,2.0,7.3,81,14.5,0.549,0.265,0.175,5.4,18.6,12.1,13.5,1.8,2.0,11.1,15.7,2.1,2.5,4.7,0.133,-0.3,1.6,1.3,1.4,false
450,Xavier Silas,SG,30,BOS,2,0,3.5,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,2,-4.9,0.0,0.667,0.0,15.8,15.4,15.6,0.0,7.1,0.0,0.0,19.1,-0.1,0.0,0.0,-0.25,-11.7,3.5,-8.1,0.0,false
451,Ben Simmons,PG,21,PHI,81,81,33.7,6.7,12.3,0.545,0.0,0.1,0.0,6.7,12.2,0.551,0.545,2.4,4.2,0.56,1.8,6.3,8.1,8.2,1.7,0.9,3.4,2.6,15.8,81,20.0,0.557,0.011,0.342,5.9,19.5,13.0,37.4,2.5,2.1,19.5,22.3,4.2,5.0,9.2,0.162,2.0,2.5,4.5,4.5,false
452,Jonathon Simmons,SG,28,ORL,69,50,29.4,5.1,11.0,0.465,1.0,3.0,0.338,4.1,8.1,0.512,0.511,2.7,3.5,0.768,0.9,2.6,3.5,2.5,0.8,0.2,2.1,2.5,13.9,69,12.7,0.555,0.268,0.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22.0,0.8,1.1,1.9,0.045,-1.7,-1.3,-3.1,-0.5,false
453,Kobi Simmons,PG,20,MEM,32,12,20.1,2.5,5.9,0.423,0.3,1.2,0.282,2.2,4.7,0.46,0.452,0.8,0.8,1.0,0.4,1.1,1.6,2.1,0.6,0.2,1.4,1.9,6.1,32,7.7,0.49,0.206,0.132,2.5,6.6,4.5,16.5,1.4,0.7,18.0,17.0,-0.4,0.2,-0.2,-0.013,-4.7,-2.1,-6.9,-0.8,false
454,Kyle Singler,SF,29,OKC,12,0,4.9,0.6,1.8,0.333,0.2,0.4,0.4,0.4,1.3,0.313,0.381,0.6,1.1,0.538,0.1,0.8,0.8,0.2,0.1,0.0,0.3,0.3,1.9,12,5.9,0.43,0.238,0.619,1.8,17.5,9.4,4.8,0.8,0.0,10.1,21.6,-0.1,0.0,0.0,-0.031,-5.0,-1.6,-6.7,-0.1,false
455,Marcus Smart,SG,23,BOS,54,11,29.9,3.5,9.5,0.367,1.4,4.6,0.301,2.1,4.9,0.429,0.44,1.8,2.5,0.729,0.8,2.7,3.5,4.8,1.3,0.4,2.4,2.5,10.2,54,10.8,0.479,0.483,0.258,3.0,9.8,6.4,23.7,2.2,1.2,18.4,19.4,-0.6,2.5,1.9,0.056,-2.1,1.0,-1.2,0.3,false
456,Dennis Smith Jr.,PG,20,DAL,69,69,29.7,5.9,14.8,0.395,1.5,4.9,0.313,4.3,9.9,0.435,0.446,1.9,2.8,0.694,0.7,3.0,3.8,5.2,1.0,0.3,2.8,2.2,15.2,69,12.8,0.473,0.331,0.188,2.6,11.8,7.0,29.5,1.7,0.8,14.9,28.9,-2.4,1.7,-0.7,-0.017,-1.2,-1.2,-2.4,-0.2,false
457,Ish Smith,PG,29,DET,82,35,24.9,4.7,9.8,0.486,0.4,1.2,0.347,4.3,8.5,0.506,0.507,1.0,1.4,0.698,0.3,2.4,2.7,4.4,0.8,0.2,1.3,1.7,10.9,82,15.4,0.525,0.126,0.145,1.4,10.9,6.1,28.4,1.6,0.9,11.2,20.8,2.4,2.0,4.4,0.102,-0.3,0.3,0.0,1.0,false
458,J.R. Smith,SG,32,CLE,80,61,28.1,3.0,7.4,0.403,1.8,4.8,0.375,1.2,2.7,0.453,0.524,0.5,0.7,0.696,0.4,2.6,2.9,1.8,0.9,0.1,1.0,2.0,8.3,80,8.4,0.534,0.64,0.094,1.5,10.1,5.9,8.6,1.5,0.4,11.6,13.8,0.6,0.9,1.4,0.031,-2.1,-0.9,-3.0,-0.6,false
459,Jason Smith,C,31,WAS,33,2,8.6,1.4,3.5,0.391,0.1,1.0,0.125,1.2,2.5,0.494,0.409,0.6,0.6,0.905,0.5,1.1,1.6,0.4,0.1,0.4,0.5,1.3,3.4,33,8.8,0.455,0.278,0.183,7.2,13.9,10.5,7.4,0.5,4.0,11.4,21.7,-0.2,0.3,0.0,0.003,-5.4,-1.0,-6.4,-0.3,false
460,Josh Smith,PF,32,NOP,3,0,4.0,0.3,1.3,0.25,0.0,0.0,,0.3,1.3,0.25,0.25,0.0,0.0,,1.0,0.3,1.3,0.0,0.0,0.0,0.0,1.0,0.7,3,3.5,0.25,0.0,0.0,28.1,8.7,18.1,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,-0.013,-8.4,-6.2,-14.6,0.0,false
461,Tony Snell,SG,26,MIL,75,59,27.4,2.5,5.7,0.435,1.4,3.6,0.403,1.0,2.1,0.49,0.562,0.5,0.6,0.792,0.1,1.8,1.9,1.3,0.6,0.4,0.5,1.5,6.9,75,8.5,0.578,0.631,0.113,0.5,7.5,4.0,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.056,-1.5,-0.8,-2.3,-0.1,false
462,Marreese Speights,C,30,ORL,52,3,13.0,2.7,6.7,0.395,1.7,4.5,0.369,1.0,2.2,0.448,0.519,0.8,1.1,0.727,0.4,2.2,2.6,0.8,0.2,0.4,0.8,2.0,7.7,52,13.7,0.539,0.668,0.158,3.4,18.4,10.8,9.8,0.6,2.6,9.7,26.9,0.1,0.5,0.6,0.045,0.2,-1.4,-1.1,0.1,false
463,Nik Stauskas,SG,24,TOT,41,0,12.8,1.5,3.8,0.39,1.0,2.4,0.4,0.5,1.3,0.37,0.519,0.5,0.7,0.724,0.1,1.5,1.6,1.0,0.2,0.1,0.6,0.6,4.4,41,9.0,0.543,0.649,0.188,0.8,12.3,6.5,11.1,0.8,0.6,13.5,15.9,0.1,0.3,0.3,0.031,-1.3,-1.0,-2.3,-0.1,false
464,Lance Stephenson,SG,27,IND,82,7,22.6,3.7,8.6,0.427,0.8,2.8,0.289,2.9,5.8,0.495,0.475,1.0,1.5,0.661,0.8,4.4,5.2,2.9,0.6,0.2,1.6,2.2,9.2,82,12.4,0.495,0.327,0.179,3.8,22.0,12.9,18.6,1.2,0.8,14.6,21.6,-0.2,2.0,1.8,0.046,-1.5,-0.3,-1.8,0.1,false
465,David Stockton,PG,26,UTA,3,0,3.0,0.7,1.0,0.667,0.7,1.0,0.667,0.0,0.0,,1.0,1.3,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,3.3,3,33.9,1.05,1.0,1.333,0.0,0.0,0.0,0.0,0.0,0.0,17.4,28.8,0.1,0.0,0.1,0.459,6.7,1.1,7.9,0.0,false
466,Julyan Stone,SG,29,CHO,23,0,7.6,0.3,0.6,0.462,0.3,0.6,0.462,0.0,0.0,,0.692,0.0,0.1,0.5,0.0,1.2,1.3,1.1,0.2,0.1,0.3,0.9,0.8,23,7.6,0.684,1.0,0.154,0.6,17.6,9.0,19.2,1.1,1.0,33.5,5.2,0.2,0.2,0.3,0.087,-3.2,1.9,-1.3,0.0,false
467,Edmond Sumner,PG,22,IND,1,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1,39.8,1.0,0.0,0.0,0.0,56.1,28.2,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,0.425,-2.4,9.3,6.9,0.0,false
468,Caleb Swanigan,PF,20,POR,27,3,7.0,0.9,2.2,0.4,0.0,0.3,0.125,0.9,1.9,0.442,0.408,0.4,0.7,0.667,0.6,1.4,2.0,0.5,0.2,0.1,0.7,1.4,2.3,27,7.5,0.449,0.133,0.3,8.7,22.3,15.6,10.8,1.3,1.3,20.9,20.0,-0.3,0.3,0.0,-0.003,-6.6,1.2,-5.5,-0.2,false
469,Jayson Tatum,SF,19,BOS,80,80,30.5,5.0,10.4,0.475,1.3,3.0,0.434,3.7,7.4,0.492,0.538,2.7,3.2,0.826,0.6,4.4,5.0,1.6,1.0,0.7,1.4,2.1,13.9,80,15.2,0.586,0.29,0.309,2.3,15.6,9.0,8.3,1.7,2.0,10.7,19.4,3.0,4.0,7.1,0.139,0.0,1.2,1.2,2.0,false
470,Isaiah Taylor,PG,23,ATL,67,9,17.4,2.4,5.8,0.418,0.3,1.2,0.25,2.1,4.6,0.461,0.444,1.5,2.1,0.702,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,6.6,67,10.9,0.492,0.205,0.362,2.1,6.9,4.5,27.0,1.4,0.7,15.7,20.1,0.2,0.5,0.6,0.027,-3.1,-1.3,-4.4,-0.7,false
471,Jeff Teague,PG,29,MIN,70,70,33.0,5.1,11.3,0.446,1.2,3.3,0.368,3.9,8.1,0.477,0.499,2.9,3.4,0.845,0.3,2.6,3.0,7.0,1.5,0.3,2.5,2.4,14.2,70,16.4,0.553,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,3.4,1.4,4.9,0.101,1.1,-0.7,0.4,1.4,false
472,Marquis Teague,PG,24,MEM,3,0,24.7,1.3,5.3,0.25,0.3,1.3,0.25,1.0,4.0,0.25,0.281,0.7,1.7,0.4,0.3,1.7,2.0,4.3,1.3,0.0,1.0,1.7,3.7,3,5.7,0.302,0.25,0.313,1.5,8.0,4.7,24.7,2.7,0.0,14.2,12.9,-0.1,0.0,-0.1,-0.038,-5.4,-0.4,-5.7,-0.1,false
473,Mirza Teletović,PF,32,MIL,10,0,15.9,2.5,5.7,0.439,2.1,4.5,0.467,0.4,1.2,0.333,0.623,0.0,0.0,,0.3,2.0,2.3,1.0,0.4,0.1,0.7,1.4,7.1,10,13.5,0.623,0.789,0.0,2.2,14.7,8.5,9.5,1.3,0.5,10.9,18.2,0.2,0.1,0.3,0.09,2.1,-1.7,0.4,0.1,false
474,Garrett Temple,SG,31,SAC,65,35,24.8,3.1,7.3,0.418,1.4,3.5,0.392,1.7,3.8,0.442,0.512,0.9,1.2,0.769,0.3,2.0,2.3,1.9,0.9,0.4,1.2,2.1,8.4,65,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-2.2,-0.3,-2.5,-0.2,false
475,Miloš Teodosić,PG,30,LAC,45,36,25.2,3.4,8.0,0.419,2.0,5.2,0.379,1.4,2.8,0.492,0.542,0.9,1.0,0.848,0.4,2.4,2.8,4.6,0.5,0.1,2.2,2.3,9.5,45,11.6,0.564,0.644,0.128,1.6,10.5,6.1,26.2,1.0,0.4,20.3,18.2,0.9,0.5,1.4,0.058,-0.3,-1.5,-1.7,0.1,false
